FoodName,LinkDrive,TheDescription,YoutubeLink,Calories,Protein,Fats,Carbs
Barbecued red pork in sauce with rice,https://drive.google.com/file/d/1G9Feigfl1SD3neRUSNjG_L1NS9cCN6P3/view?usp=sharing,"is a popular Thai dish featuring slices of juicy pork, served with steamed jasmine rice. The Thai barbecue pork is always drizzled with a sweet and savory red sauce and is a blend of Thai-Chinese cuisine. The word “khao” means “rice,” and “moo dang” means red pork (roasted or barbecued)",https://www.youtube.com/watch?v=1i1ED_meHD8,352,1,2,50
Chicken Rice Curry With Coconut,https://drive.google.com/file/d/1sI97M4Yd5cv77bXmWZWh7Knucgj0lD91/view?usp=sharing,"is a healthy dinner that's packed with flavor. Just let the chicken simmer in curry spice and coconut milk. Then serve over a fluffy bed of rice to soak up the saucy goodness. It's an easy, one-pan meal you and your guests will love",https://www.youtube.com/watch?v=EUmKgvGL-wA,371,14,9,30
Coconut milk-flavored crepes with shrimp and beef,https://drive.google.com/file/d/1Xvh6_OMxcSAydLHZbxClvPqmmxC0a4H0/view?usp=sharing," an ultra-thin pancake common in France that can be made sweet or savory, typically rolled or folded with a variety of fillings from jam or Nutella to ham and cheese to seafood",https://www.youtube.com/watch?v=o31hWjMSPuo,396,7,4,72
Crispy Noodles,https://drive.google.com/file/d/1t1eAfN1Co4U7Gwo7BNfPt7n4mZ6rI1Jw/view?usp=sharing," informally referred to as crunchy noodles or crunchy chow mein, are a type of noodle-shaped cracker (or dried biscuit) used in American Chinese cuisine.",https://www.youtube.com/watch?v=jZWzvacim3o,269,13,4,60
Deep Fried Chicken Wing,https://drive.google.com/file/d/1DJCvOJVf8hiWbHsdepBSJndXJs5cA1k7/view?usp=sharing,"Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C). Fry chicken wings in hot oil until crisp and juices run clear, 10 to 12 minutes. An instant-read thermometer inserted into the thickest part of the meat, near the bone, should read 165 degrees F (74 degrees C).",https://www.youtube.com/watch?v=JhKYzWcNCgI,318,21,2,66
Egg Noodle In Chicken Yellow Curry,https://drive.google.com/file/d/1qdK-fVA1KOaSz5QHO1AeFcPBKK1JA3z9/view?usp=sharing,"Khao soi curry is a traditional dish of Northern Thailand and is made with boiled egg noodles, fried egg noodles, and meat (or tofu for a vegetarian version) in a creamy, coconut-curry sauce",https://www.youtube.com/watch?v=3eOEqeff18U,327,23,9,78
Fried spring rolls,https://drive.google.com/file/d/1JWqzjDvo5Ud7VieluJ9f7lsNQfY3TkT6/view?usp=sharing,"Fried spring rolls are filled with juicy shredded pork, cabbage, carrots, and mushrooms to create slender, smooth, and delicate packages.",https://www.youtube.com/watch?v=OSFhMY0Uyso,270,14,9,45
Hue beef rice vermicelli soup,https://drive.google.com/file/d/1J1ghCJNJQ_7K_26TGT8kTI-RAN6GoLxl/view?usp=sharing,"Vietnamese Vermicelli Noodle Soup with Sliced Beef) Topped with a multitude of garnishes, this aromatic and savory soup features lemongrass-infused bone broth with vermicelli noodles and tender beef",https://www.youtube.com/watch?v=qWK_HYlKrAA,424,13,7,67
Pork Sticky Noodles,https://drive.google.com/file/d/1-CfK-MJLftwAcecBGD2ElllPBBKQBTCQ/view?usp=sharing," an Asian inspired stir-fry recipe with a tangy and sticky marinade made from hoisin sauce, garlic cloves and limes, crunchy stir-fry veg and tasty noodles",https://www.youtube.com/watch?v=jO1I6X103TY,333,18,4,58
Pork with lemon,https://drive.google.com/file/d/1TNOANI-tvbRoz3TopbHEv946R5x3nYMr/view?usp=sharing,"Heat the oil in a flameproof casserole and fry the pork until brown on all sides. Add them rosemary, garlic and bay, then fry for 1 min more. Pour in the wine and bring to the boil, scraping the bottom of the casserole. Lower to a simmer and throw in the lemon zest",https://www.youtube.com/watch?v=Xw0BgMtyYvI,260,4,8,35
